anastasisbele,Data Analyst,Persado,Dec 2019 – Present,Greater New York City Area,
anastasisbele,Operations Research Analyst,Cornell Tech,May 2019 – Sep 2019,Greater New York City Area,"•	Design optimization software for optimal assignment of offices to Cornell Tech faculty and staff•	Define relevant parameters, collect preference data and build mixed integer programs using Gurobi/Python"
anastasisbele,Project Analyst,Philip Morris International,Jun 2016 – Oct 2017,Neuchâtel,"•	Planned and executed operational projects for the Southeastern European markets by coordinating stakeholders in Procurement, Design, Production, Planning and Marketing to ensure the timely delivery of products•	Represented a team of 17 in the interdepartmental initiative for the reengineering of supply chain processes•	Honored with annual company award for contributing to the development of Excel dashboards from SAP and PLM data, reducing missing Bills of Materials by 80% while being consulted by more than 100 internal stakeholders•	Trained colleagues from other departments in the team’s analytics tools

    
…

        see more"
anastasisbele,Analyst,Humatica,Mar 2016 – May 2016,"Zürich Area, Switzerland","Internship in a boutique consulting firm on strategy and sales projects. Support provided in industry, market and technology research, analysis of sales data, and presentations for clients."
anastasisbele,Procurement Analyst,Philip Morris International,Jan 2016 – Mar 2016,"Lausanne Area, Switzerland",Analysis of suppliers' performance data from the affiliates' global survey. Generation and presentation of results per supplier based on multi-dimensional rating system.
anastasisbele,Supply Chain Intern,Philip Morris International,Feb 2015 – Aug 2015,"Lausanne Area, Switzerland","Master Thesis Project: ""Optimizing the Supplier Relationship Management Processes for Technical Procurement"". Responsibilities and achievements:•	Led workshops with senior management to revise and apply the supplier relationship management process•	Introduced regression analysis and 4-dimensional graphs to improve efficacy of suppliers’ segmentation•	Enhanced risk management process by quantifying suppliers’ risk through a new index•	Applied multi-criteria decision analysis to redefine the KPIs of the global suppliers’ performance survey

    
…

        see more"
anastasisbele,Research Assistant,EPFL (École polytechnique fédérale de Lausanne),Mar 2014 – Jun 2014,"Lausanne Area, Switzerland",Encoding and analysis of data on youth unemployment and entrepreneurship in Greece
anastasisbele,Wired Communication Technician,Hellenic Army,Nov 2012 – Aug 2013,Greece,Military service in the Technical Corps. Trained to serve as a technician at the Telecommunications Base Factory in Athens.
anastasisbele,Communications Engineer Trainee,Infitheon Technologies,Oct 2011 – Jan 2012,"Athens, Greece",Development and Management of innovative ICT projects like low power wireless sensor network for spacecraft applications.
anastasisbele,Summer Intern,HELLENIC PETROLEUM Group of Companies,Jul 2010 – Aug 2010,"Aspropyrgos, Greece",Task scheduling under the Maintenance & Programming department of the Aspropyrgos Refinery near Athens. Development of the initial digital logic design for a fire alarm system.
paulananya,"Software Engineering Intern, Rider Vertical",Uber,May 2019 – Aug 2019,"Seattle, Washington","As a Software Engineering Intern with the Reservations and Premium team, I built a web application which acts as an admin tool for operations to view geospatial and other information associated with reservations. As part of my project, I wrote the Product Review Document in collaboration with stakeholders like operations, product operations and the reservation team. The work involved proactively reaching out to stakeholders, gathering information, understanding how Reservations in Uber work, the pain points in the system. I closely worked with product operations and design and came up with a product and fleshed it out in the product review document. I also ensured the product impacts and meets the needs of Operations.Once the product documentation has been reviewed, I designed the architecture to build the stand-alone web application in collaboration with other engineers. I scoped out and planned the project, by breaking it down into milestones with timelines and communicated the progress with the stakeholders throughout the implementation phase. I successfully scaffolded an application, got it provisioned, configured and deployed following Uber’s toolchain. I followed an agile method of iteratively taking feedback from users and incorporating into the design. The application is built in Fusion.js, React, Redux for the front-end, Mapbox, Deck.gl for Maps, Baseweb.design for the UI, and tests are written in jest. I saw the product process from end-to-end from writing the product document to sending out a launch email to the users.

    
…

        see more"
paulananya,Software Engineer,4iQ,Jan 2018 – Apr 2018,,"-Integrated HIDS host-based intrusion detection system into system infrastructure using Puppet shell-scripting, leading to 20 to 50 alerts for security infringements per day."
paulananya,Engineering Team Lead,Next Education India Pvt Ltd,Jun 2017 – Jul 2017,"Hyderabad Area, India","- Headed the front-end development of NextTools, set of 15 web and touch-based education tools in HTML5 to replace the legacy flash-based software with a team of 5 software engineers leading to better user-experience.- Collaborated with a cross-functional team of product managers, designers and back-end engineers to gather requirements and lead 3 engineers to build HTML5 simulations for educational courses.

    
…

        see more"
